"id","name","comentario","colombia","bogota","gobierno","cuidar","ano","politico","joven","ciudad","social","via","familia","usd","gracia","seguir","medellin","vida","dejar","policia","salud","cali","evitar","paz","solidaridad","derecho","fuerza","colombiano","garantizar","mujer","comunidad","persona","centro","violencia","nacional","seguridad","apoyar","mil","informar","antioquia","vacuna","publico","proyecto","publicar","duque","recuperar","covid","democracia","pacto","cambio","ciudadano","humano","reforma","pagar","vacunacion","construir","protesta","mundo","millón","punto","entregar","volver","salir","presidente","proteger","democratico","sector","mantener","cambiar","historico","pasar","nino","lograr","hora","cuidado","autoridad","debate","mario","semana","mejorar","entrevista","esperar","atender","permitir","querer","llegar","apoyo","sistema","atencion","juventud","educacion","destruir","pobreza","felicitación","ciudadania","sacar","comprar","economico","justicia","servicio","linea","plan"
1,"Petro","columna punto resistencia colombiahumana juventud llegarar campo popular organizar organizar organizar multitud humano",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409342890317906,0,0,0,0,0,0,0,0.421035435967525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483408044285793,0,0,0,0,0,0,0,0,0,0,0,0
2,"Lopez","bogota cundinamarcar salir colombia salir trabajar junto bogotano lograr lograr campesino vida dignar construir construir paz hacer bogotaregion",0.192295290984208,0.148727759146548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237340547876067,0,0,0,0,0,0.289597295260571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649446614465532,0,0,0,0,0,0,0.657668901292619,0,0,0,0,0,0,0,0,0,0.612081793591707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Lopez","significar proyecto rescate social economico concejo bogota",0,0.38244280923398,0,0,0,0,0,0,0.566403400178099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729464527627086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78392393222453,0,0,0,0
4,"Lopez","avanzar recorrido sar cristobal llegar colegio santa listo diciembre ano beneficiara estudiante localidad contar aula basica primario basica medio",0,0,0,0,0.211298041198451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335396408354055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Petro","mil persona bucaramanga momento seguir calle terminar rechazar asesinato masacre mundo colombia ano gobierno paronacionalm",0.230754349181049,0,0.272142615818186,0,0.267644185518038,0,0,0,0,0,0,0,0,0.294360237732537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317170445929297,0,0,0,0,0,0.324515973779325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379956138332944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Petro","porcentaje trabajador semana fuerza laboral mundo grado explotacion laboral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559169033872914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633260230554906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621057644115712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Uribe","acelerar superacion pobreza hablarle duro socialismo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954000688204738,0,0,0,0,0,0,0,0,0
8,"Petro","pedir alcalde riesgo climatico establecer establecer crisis climatica municipio ampliar participacion popular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Petro","fascismo mundo mundo pais rico tratar objetivo pueblo excluido mundo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70980262249825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Lopez","principal punto movilización manana julio ruta habilitar consultar consultar sectormovilidad transmilenio ciclovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456121722298152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
